index,genres,keywords,original_language,popularity,production_companies,release_date,runtime,tagline,title,vote_average,cast,director
453,Action Comedy Crime Mystery Family,robbery investigation inspector killer clouseau,en,25.450534,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""The Montecito Picture Company"", ""id"": 2364}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",18-01-2006,93,Pardon His French.,The Pink Panther,5.6,Steve Martin Kevin Kline Jean Reno Beyonc\u00e9 Knowles Emily Mortimer,Shawn Levy
454,Drama Science Fiction Thriller,extraterrestrial technology spacecraft ultimatum evacuation panic,en,41.890722,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment III"", ""id"": 6332}, {""name"": ""Earth Canada Productions"", ""id"": 20374}, {""name"": ""Hammerhead Productions"", ""id"": 20375}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}]",10-12-2008,104,12.12.08 is the Day the Earth Stood Still,The Day the Earth Stood Still,5.2,Keanu Reeves Jennifer Connelly Kathy Bates Jaden Smith John Cleese,Scott Derrickson
455,Action Drama Mystery Thriller,new york cia helicopter assassin secret,en,22.179658,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Donner/Shuler-Donner Productions"", ""id"": 23397}]",07-08-1997,135,What if your most paranoid nightmares had just come true?,Conspiracy Theory,6.5,Mel Gibson Julia Roberts Patrick Stewart Cylk Cozart Steve Kahan,Richard Donner
456,War Drama Action,world war ii nazis war nazi germany panzer,en,139.575085,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Crave Films"", ""id"": 16312}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Huayi Brothers Media"", ""id"": 39649}, {""name"": ""Le Grisbi Productions"", ""id"": 47169}]",15-10-2014,135,War never ends quietly.,Fury,7.4,Brad Pitt Shia LaBeouf Logan Lerman Michael Pe\u00f1a Jon Bernthal,David Ayer
457,Action Adventure Comedy Romance,overleven family guy,en,18.264635,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Roger Birnbaum Productions"", ""id"": 961}, {""name"": ""Northern Lights Entertainment"", ""id"": 8816}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",12-06-1998,98,"After this week in paradise, they’re going to need a vacation.",Six Days Seven Nights,5.6,Harrison Ford Anne Heche David Schwimmer Jacqueline Obradors Temuera Morrison,Ivan Reitman
458,Comedy Family Animation Adventure,picnic sandwich bear 3d yogi,en,11.187696,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Rhythm and Hues"", ""id"": 13481}, {""name"": ""Picnic Basket"", ""id"": 19045}]",11-12-2010,80,Life's a Pic-A-Nic,Yogi Bear,5.2,Dan Aykroyd Justin Timberlake Anna Faris Tom Cavanagh Christine Taylor,Eric Brevig
459,Western Animation Adventure Comedy Family,human being freedom mustang rivalry wildlife,en,41.670544,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",24-05-2002,83,Leader. Hero. Legend.,Spirit: Stallion of the Cimarron,7.4,Matt Damon James Cromwell Daniel Studi Chopper Bernet Jeff LeBeau,Kelly Asbury
460,Comedy Romance Family,talking animal scientist german accent ostrich monkey,en,27.46264,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Sony Pictures Releasing"", ""id"": 3045}, {""name"": ""Broken Road Productions"", ""id"": 8000}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Zookeeper Productions"", ""id"": 46221}, {""name"": ""Hey Eddie"", ""id"": 46222}]",06-07-2011,102,Welcome to his jungle.,Zookeeper,5.3,Kevin James Rosario Dawson Sylvester Stallone Nick Nolte Jon Favreau,Frank Coraci
461,Adventure Family Science Fiction,time travel sabotage deep space explorer,en,17.455024,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Irwin Allen Productions"", ""id"": 14024}, {""name"": ""Prelude Pictures"", ""id"": 19902}, {""name"": ""Saltire Entertainment"", ""id"": 30253}]",03-04-1998,130,"Danger, Will Robinson!",Lost in Space,5,Gary Oldman William Hurt Matt LeBlanc Mimi Rogers Heather Graham,Stephen Hopkins
462,Drama Thriller Mystery,senator gulf war canoe kuwait conspiracy,en,21.394281,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Clinica Estetico"", ""id"": 1274}]",30-07-2004,129,This summer everything is under control.,The Manchurian Candidate,6.2,Denzel Washington Meryl Streep Liev Schreiber Jon Voight Kimberly Elise,Jonathan Demme
463,Romance Drama,love american pin stranger ruby,en,0.605645,"[{""name"": ""Rainbow Film Company, The"", ""id"": 27584}, {""name"": ""Revere Entertainment"", ""id"": 40955}, {""name"": ""Jagtoria Films"", ""id"": 40956}]",22-04-1998,117,Your future is set...,Déjà Vu,8,Stephen Dillane Victoria Foyt Vanessa Redgrave Michael Brandon Glynis Barber,Henry Jaglom
464,Animation Comedy Family,transylvania hotel witch technology magic,en,61.692197,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}]",21-09-2015,89,They're back to raise a little terror,Hotel Transylvania 2,6.7,Adam Sandler Andy Samberg Selena Gomez Kevin James Steve Buscemi,Genndy Tartakovsky
465,Animation Family Music,orchestra musical segments,en,14.530946,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",17-12-1999,74,,Fantasia 2000,7,Steve Martin Itzhak Perlman Quincy Jones Bette Midler James Earl Jones,James Algar
466,Science Fiction Adventure Action,future time machine,en,25.978555,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Warner Bros."", ""id"": 6194}]",04-03-2002,96,The greatest adventure THROUGH all time!,The Time Machine,5.8,Guy Pearce Mark Addy Phyllida Law Sienna Guillory Laura Kirk,Simon Wells
467,Action Adventure Family Fantasy,gorilla dying and death,en,6.643778,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""RKO Pictures"", ""id"": 4361}]",25-12-1998,114,Survival is an instinct.,Mighty Joe Young,5.9,Charlize Theron Rade Serbedzija Bill Paxton Regina King Peter Firth,Ron Underwood
468,Action Crime Thriller,female nudity hacker terrorism violence ex-con,en,36.788745,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Jonathan Krane Group"", ""id"": 46458}]",07-06-2001,99,Log On. Hack In. Go Anywhere. Get Everything.,Swordfish,6.1,John Travolta Hugh Jackman Halle Berry Don Cheadle Sam Shepard,Dominic Sena
469,Action Adventure,california spy father son relationship mexico hero,en,31.054334,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]",24-10-2005,129,The original caped crusader is back!,The Legend of Zorro,5.9,Antonio Banderas Catherine Zeta-Jones Adri\u00e1n Alonso Barona Julio Oscar Mechoso Nick Chinlund,Martin Campbell
470,Drama Fantasy Romance,paradise soul underworld heaven painting,en,21.891078,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}]",02-10-1998,113,After life there is more. The end is just the beginning.,What Dreams May Come,6.8,Robin Williams Cuba Gooding Jr. Annabella Sciorra Max von Sydow Jessica Brooks Grant,Vincent Ward
471,Comedy Fantasy Romance,father son relationship brother sister relationship mephisto bulldogg,en,18.335992,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Avery Pix"", ""id"": 1565}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]",10-11-2000,90,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,Little Nicky,5.2,Adam Sandler Patricia Arquette Harvey Keitel Rhys Ifans Tom Lister Jr.,Steven Brill
472,Adventure Fantasy Action Comedy Thriller,brother brother relationship literature aftercreditsstinger,en,40.138009,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Reforma Films"", ""id"": 1649}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",26-08-2005,118,Eliminating Evil Since 1812.,The Brothers Grimm,5.6,Heath Ledger Matt Damon Mackenzie Crook Roger Ashton-Griffiths Peter Stormare,Terry Gilliam
473,Comedy Fantasy Science Fiction,saving the world total destruction white house mars usa president,en,44.090535,"[{""name"": ""Tim Burton Productions"", ""id"": 8601}]",12-12-1996,106,Nice planet. We'll take it!,Mars Attacks!,6.1,Jack Nicholson Glenn Close Annette Bening Pierce Brosnan Danny DeVito,Tim Burton
474,Mystery Drama Horror,nurse sea beach boy pregnant,fr,3.300061,"[{""name"": ""Ex Nihilo"", ""id"": 3307}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Les films du Worso"", ""id"": 7395}, {""name"": ""Noodles Production"", ""id"": 7792}, {""name"": ""Cin\u00e9+"", ""id"": 10611}, {""name"": ""Scope Pictures"", ""id"": 11199}, {""name"": ""Le Tax Shelter du Gouvernement F\u00e9d\u00e9ral de Belgique"", ""id"": 11921}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Minist\u00e8re de la Culture et de la Communication"", ""id"": 25818}, {""name"": ""Volcano Films"", ""id"": 52184}, {""name"": ""Left Field Ventures"", ""id"": 58659}, {""name"": ""Evo Films A.I.E."", ""id"": 76444}, {""name"": ""Ind\u00e9films 3"", ""id"": 76445}, {""name"": ""Palatine \u00c9toile 12"", ""id"": 76446}, {""name"": ""Cin\u00e9feel Prod"", ""id"": 76447}]",14-09-2015,81,,Evolution,6.4,Max Brebant Roxane Duran Julie-Marie Parmentier Mathieu Goldfeld Nissim Renard,Lucile Hadzihalilovic
475,Action Adventure Drama,photographer grizzly bear wilderness airplane supermodel,en,20.632673,"[{""name"": ""Art Linson Productions"", ""id"": 8769}]",06-09-1997,117,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",The Edge,6.7,Alec Baldwin Anthony Hopkins Elle Macpherson Harold Perrineau L.Q. Jones,Lee Tamahori
476,Action Science Fiction Thriller,clone dystopia,en,36.664991,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Wintergreen Productions"", ""id"": 11845}, {""name"": ""Top Shelf Productions"", ""id"": 41978}]",24-09-2009,89,How do you save humanity when the only thing that's real is you?,Surrogates,5.9,Bruce Willis Radha Mitchell Rosamund Pike James Cromwell Ving Rhames,Jonathan Mostow
477,Drama Thriller,usa president atomic bomb john f. kennedy kubakrise threat,en,18.26121,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Tig Productions"", ""id"": 335}]",24-12-2000,145,You'll never believe how close we came,Thirteen Days,6.9,Kevin Costner Bruce Greenwood Steven Culp Dylan Baker Shawn Driscoll,Roger Donaldson
478,Action Adventure Thriller,taxi new jersey helicopter river hero,en,16.681269,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Davis Entertainment"", ""id"": 1302}]",06-12-1996,115,No air. No escape. No time.,Daylight,5.8,Sylvester Stallone Amy Brenneman Viggo Mortensen Dan Hedaya Jay O. Sanders,Rob Cohen
479,Animation Family Adventure,dinosaur 3d,en,10.088006,"[{""name"": ""BBC Worldwide"", ""id"": 3164}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}, {""name"": ""Animal Logic"", ""id"": 8089}, {""name"": ""BBC Earth"", ""id"": 8090}, {""name"": ""Evergreen Films"", ""id"": 8091}, {""name"": ""BBC Earth MD (WWD)"", ""id"": 53498}, {""name"": ""Evergreen MD"", ""id"": 53499}]",18-12-2013,87,The Greatest Adventure in 70 Million Years,Walking With Dinosaurs,5.2,Charlie Rowe Justin Long Karl Urban Angourie Rice John Leguizamo,Barry Cook
480,Action Science Fiction War,based on novel post-apocalyptic dystopia mining fighter jet,en,7.89147,"[{""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""JTP Films"", ""id"": 7406}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Battlefield Productions"", ""id"": 19718}]",10-05-2000,118,Take Back The Planet,Battlefield Earth,3,John Travolta Barry Pepper Forest Whitaker Kim Coates Sabine Karsenti,Roger Christian
481,Animation Comedy Family,spy duck bunny wretch film industry,en,16.715631,"[{""name"": ""Lonely Film Productions GmbH & Co. KG."", ""id"": 430}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Warner Bros. Feature Animation"", ""id"": 20734}]",14-11-2003,90,Real life has never been so animated.,Looney Tunes: Back in Action,5.6,Brendan Fraser Jenna Elfman Steve Martin Timothy Dalton Heather Locklear,Joe Dante
482,Drama Music Romance,memory sidewalk cafe room key driving a car coastline,en,9.357734,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Relativity Media"", ""id"": 7295}]",03-12-2009,112,"This Holiday Season, Be Italian",Nine,5.1,Judi Dench Daniel Day-Lewis Marion Cotillard Pen\u00e9lope Cruz Sophia Loren,Rob Marshall
483,Action Adventure Science Fiction,professor time travel quantum mechanics hundred years' war excavation,en,11.22268,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Cobalt Media Group"", ""id"": 18619}, {""name"": ""Artists Production Group (APG)"", ""id"": 18620}]",26-11-2003,116,They had to travel into the past to save the future,Timeline,5.4,Paul Walker Frances O'Connor Gerard Butler Billy Connolly David Thewlis,Richard Donner
484,Drama Adventure,usa post postman army apocalypse,en,14.564667,"[{""name"": ""Tig Productions"", ""id"": 335}, {""name"": ""Warner Bros."", ""id"": 6194}]",25-12-1997,177,The year is 2013. One man walked in off the horizon and hope came with him.,The Postman,6.1,Kevin Costner Will Patton Olivia Williams Larenz Tate Tom Petty,Kevin Costner
485,Adventure Comedy Drama Family Fantasy,piggy bank shortage of money pig farm piglet,en,11.356079,"[{""name"": ""Kennedy Miller Productions"", ""id"": 2537}]",25-11-1998,92,This little pig went to the city...,Babe: Pig in the City,5.2,James Cromwell Mary Stein Mickey Rooney Magda Szubanski E.G. Daily,George Miller
486,Fantasy Action Adventure,new york witch uprising witch hunter,en,52.612025,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""NeoReel"", ""id"": 24097}, {""name"": ""Aperture Entertainment"", ""id"": 33832}, {""name"": ""TIK Films"", ""id"": 72441}]",21-10-2015,106,Hunt forever.,The Last Witch Hunter,5.7,Vin Diesel Rose Leslie Elijah Wood \u00d3lafur Darri \u00d3lafsson Rena Owen,Breck Eisner
487,Thriller Action Science Fiction,mars future astronaut science catastrophe,en,13.800656,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""The Canton Company"", ""id"": 22351}, {""name"": ""Mars Production Pty. Ltd."", ""id"": 53997}]",10-11-2000,106,Not A Sound. Not A Warning. Not A Chance. Not Alone.,Red Planet,5.4,Val Kilmer Carrie-Anne Moss Benjamin Bratt Tom Sizemore Simon Baker,Antony Hoffman
488,Adventure Fantasy Animation Family,grandfather grandson relationship wretch treasure hunt disappearance family,en,27.097932,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Sofica Europacorp"", ""id"": 854}, {""name"": ""Avalanche Productions"", ""id"": 2525}, {""name"": ""EuropaCorp"", ""id"": 6896}]",13-12-2006,94,Adventure awaits in your own backyard.,Arthur and the Invisibles,6,Freddie Highmore Mia Farrow Ron Crawford Penny Balfour Doug Rand,Luc Besson
489,Documentary Family,ocean sea fish whale duringcreditsstinger,en,10.706613,"[{""name"": ""Path\u00e9 Films"", ""id"": 4959}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Participant Media"", ""id"": 6735}, {""name"": ""France T\u00e9l\u00e9vision"", ""id"": 7454}, {""name"": ""France 2 Cin\u00e9ma"", ""id"": 15671}, {""name"": ""France 3 Cinema"", ""id"": 16804}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Conseil R\u00e9gional du Calvados"", ""id"": 19267}, {""name"": ""R\u00e9gion Bretagne"", ""id"": 20346}, {""name"": ""Minist\u00e8re du D\u00e9veloppement Durable et de la Mer"", ""id"": 33250}, {""name"": ""JMH-TSR"", ""id"": 33251}, {""name"": ""HH Sheikha Salama bint Hamdan Al Nahyan"", ""id"": 33252}, {""name"": ""Conseil G\u00e9n\u00e9ral des C\u00f4tes d'Armor"", ""id"": 33253}, {""name"": ""Conseil G\u00e9n\u00e9ral du Morbihan"", ""id"": 33254}, {""name"": ""R\u00e9gion Basse-Normandie"", ""id"": 33255}]",17-10-2009,84,Explore the depths of our planet's oceans.  Experience the stories that connect their world to ours.,Oceans,7.3,Pierce Brosnan Jacques Perrin Rie Miyazawa Aldo Baglio Matthias Brandt,Jacques Perrin
490,Thriller Science Fiction Adventure Action,dying and death time travel romance dinosaur,en,7.342892,"[{""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Baldwin Entertainment Group"", ""id"": 2234}, {""name"": ""Dante Entertainment"", ""id"": 2755}, {""name"": ""Crusader Entertainment"", ""id"": 2978}, {""name"": ""ETIC Films"", ""id"": 2979}, {""name"": ""Forge"", ""id"": 2980}, {""name"": ""QI Quality International GmbH Co. KG"", ""id"": 2981}, {""name"": ""Signature Pictures"", ""id"": 2982}, {""name"": ""ApolloMedia Distribution"", ""id"": 16850}, {""name"": ""Coco"", ""id"": 87847}, {""name"": ""Film 111"", ""id"": 87848}, {""name"": ""Jericho Productions Ltd."", ""id"": 87849}, {""name"": ""MFF (Sound of Thunder)"", ""id"": 87850}, {""name"": ""Matrix Film Finance"", ""id"": 87851}, {""name"": ""Scenario Lane Productions"", ""id"": 87852}]",15-05-2005,110,Some Rules Should Never Be Broken.,A Sound of Thunder,4.8,Heike Makatsch Armin Rohde David Oyelowo Wilfried Hochholdinger Edward Burns,Peter Hyams
491,Action Adventure History Romance Drama,gladiator arena gladiator fight lava roman,en,50.561849,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Don Carmody Productions"", ""id"": 4253}, {""name"": ""FilmDistrict"", ""id"": 7263}, {""name"": ""Constantin Film International"", ""id"": 12162}]",18-02-2014,105,No warning. No escape.,Pompeii,5.2,Kit Harington Carrie-Anne Moss Emily Browning Adewale Akinnuoye-Agbaje Jessica Lucas,Paul W.S. Anderson
492,Comedy Animation,3d,es,0.719996,"[{""name"": ""Anima Estudios"", ""id"": 9965}, {""name"": ""Discreet Art Productions"", ""id"": 79433}]",30-10-2015,89,,Top Cat Begins,5.3,Jason Harris David Hoffman Bill Lobley Darin De Paul Marieve Herington,Andr\u00e9s Couturier
493,Drama Romance,individual schizophrenia massachusetts love of one's life intelligence,en,59.248437,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}]",11-12-2001,135,I need to believe that something extra ordinary is possible...,A Beautiful Mind,7.7,Russell Crowe Ed Harris Jennifer Connelly Christopher Plummer Paul Bettany,Ron Howard
494,Family Animation Drama,loss of parents wild boar uncle shaman redemption,en,90.457886,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]",23-06-1994,89,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,8,Jonathan Taylor Thomas Matthew Broderick James Earl Jones Jeremy Irons Moira Kelly,Roger Allers
495,Adventure Action Science Fiction,mission mysterious island missing person duringcreditsstinger 3d,en,40.723459,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Contrafilm"", ""id"": 1836}, {""name"": ""Walden Media"", ""id"": 10221}]",19-01-2012,94,Believe the Impossible. Discover the Incredible.,Journey 2: The Mysterious Island,5.8,Dwayne Johnson Josh Hutcherson Kristin Davis Vanessa Hudgens Luis Guzm\u00e1n,Brad Peyton
496,Animation Family Comedy,inventor food scientist,en,41.247402,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony"", ""id"": 649}]",26-09-2013,95,Something big was leftover.,Cloudy with a Chance of Meatballs 2,6.4,Bill Hader Anna Faris James Caan Will Forte Andy Samberg,Cody Cameron
497,Crime Thriller Horror,psychopath serial killer fbi agent,en,10.083905,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",29-09-2002,124,Before the Silence.,Red Dragon,6.7,Anthony Hopkins Edward Norton Ralph Fiennes Harvey Keitel Emily Watson,Brett Ratner
498,Western Adventure,horse race horse racehorse,en,16.759252,"[{""name"": ""Casey Silver Productions"", ""id"": 877}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Dune Films"", ""id"": 19477}]",05-03-2004,136,Unbridled. Unbroken. Unbeaten.,Hidalgo,6.5,Viggo Mortensen Zuleikha Robinson Omar Sharif Adam Alexi-Malle Louise Lombard,Joe Johnston
499,Comedy,duringcreditsstinger,en,22.132418,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Broken Road Productions"", ""id"": 8000}]",11-11-2011,91,His twin sister is coming for the holidays... ...and it ain't pretty.,Jack and Jill,4.1,Adam Sandler Katie Holmes Al Pacino Eugenio Derbez Tim Meadows,Dennis Dugan
500,Action Crime Thriller,miami car race sports car los angeles car,en,10.520961,"[{""name"": ""Mikona Productions GmbH & Co. KG"", ""id"": 24}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Ardustry Entertainment"", ""id"": 26281}]",05-06-2003,107,How Fast Do You Want It?,2 Fast 2 Furious,6.2,Paul Walker Tyrese Gibson Eva Mendes Cole Hauser Ludacris,John Singleton
501,Adventure Animation Fantasy,philosophy utopia airplane adventure dystopia,en,35.384423,"[{""name"": ""Onyx Films"", ""id"": 2203}, {""name"": ""NetFlix"", ""id"": 8858}, {""name"": ""Orange Studios"", ""id"": 15433}, {""name"": ""CityMation"", ""id"": 41042}, {""name"": ""On Entertainment"", ""id"": 59725}, {""name"": ""Zippcast Films"", ""id"": 60658}]",29-07-2015,92,Growing up isn't the problem... forgetting is.,The Little Prince,7.6,Jeff Bridges Rachel McAdams Paul Rudd Marion Cotillard James Franco,Mark Osborne
502,Science Fiction Thriller,remake alien escape alien invasion alien infection,en,15.673154,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]",17-08-2007,99,Do not trust anyone. Do not show emotion. Do not fall asleep.,The Invasion,5.7,Nicole Kidman Daniel Craig Jeremy Northam Jeffrey Wright Jackson Bond,Oliver Hirschbiegel
503,Action Adventure Animation Comedy Family,adventure cartoon comedy breaking the fourth wall talking to the camera,en,8.981427,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Capella International"", ""id"": 594}, {""name"": ""KC Medien AG"", ""id"": 596}, {""name"": ""Tribeca Productions"", ""id"": 11391}]",30-06-2000,88,This summer it's not the same old bull.,The Adventures of Rocky & Bullwinkle,3.9,Rene Russo Jason Alexander Piper Perabo Randy Quaid Robert De Niro,Des McAnuff
504,Animation Family,pet bunny anthropomorphism dog animal,en,31.482872,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",18-06-2016,87,Think this is what they do all day?,The Secret Life of Pets,5.9,Louis C.K. Eric Stonestreet Kevin Hart Jenny Slate Lake Bell,Chris Renaud
505,Fantasy Action Thriller Science Fiction,saving the world vampire bite men invisible man,en,47.436675,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""JD Productions"", ""id"": 475}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""Angry Films"", ""id"": 12087}, {""name"": ""Mediastream Dritte Film GmbH & Co. Beteiligungs KG"", ""id"": 19352}]",11-07-2003,110,The power of seven become a league of one.,The League of Extraordinary Gentlemen,5.7,Sean Connery Peta Wilson Shane West Stuart Townsend Jason Flemyng,Stephen Norrington
506,Animation Comedy Family,secret agent bakery falling in love father daughter relationship duringcreditsstinger,en,136.886704,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",25-06-2013,98,Back 2 Work,Despicable Me 2,7,Steve Carell Kristen Wiig Benjamin Bratt Miranda Cosgrove Russell Brand,Pierre Coffin
507,Action Adventure Science Fiction,spacecraft patriotism countdown independence invasion,en,60.442593,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Centropolis Entertainment"", ""id"": 347}]",25-06-1996,145,Earth. Take a good look. It might be your last.,Independence Day,6.7,Will Smith Bill Pullman Jeff Goldblum Mary McDonnell Judd Hirsch,Roland Emmerich
508,Adventure Action Science Fiction,exotic island dna paleontology tyrannosaurus rex velociraptor,en,2.502487,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]",23-05-1997,129,Something has survived.,The Lost World: Jurassic Park,6.2,Jeff Goldblum Julianne Moore Pete Postlethwaite Richard Attenborough Vince Vaughn,Steven Spielberg
509,Family Animation,lion hippopotamus giraffe penguin zebra,en,48.110909,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",25-05-2005,86,Someone's got a zoo loose.,Madagascar,6.6,Ben Stiller Chris Rock David Schwimmer Jada Pinkett Smith Sacha Baron Cohen,Eric Darnell
510,Drama Action Thriller Science Fiction,police state hippie rebel miracle future,en,35.387874,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Hit & Run Productions"", ""id"": 11429}]",22-09-2006,109,The future's a thing of the past.,Children of Men,7.4,Clive Owen Michael Caine Julianne Moore Charlie Hunnam Chiwetel Ejiofor,Alfonso Cuar\u00f3n
